,flux,reaction,metabolite
EX_mal_L_medium,1e-06,EX_mal_L_medium,mal_L_medium
EX_malthx_medium,1e-06,EX_malthx_medium,malthx_medium
EX_man6p_medium,1e-06,EX_man6p_medium,man6p_medium
EX_mantr_medium,3.5408439549207597e-07,EX_mantr_medium,mantr_medium
EX_met_L_medium,1.292593439444731e-05,EX_met_L_medium,met_L_medium
EX_metala_medium,1e-06,EX_metala_medium,metala_medium
EX_metsox_S_L_medium,1.1811660703554729e-07,EX_metsox_S_L_medium,metsox_S_L_medium
EX_mg2_medium,1.0000000000000004e-06,EX_mg2_medium,mg2_medium
EX_mn2_medium,1.0000000000000004e-06,EX_mn2_medium,mn2_medium
EX_mqn7_medium,2.8700074589019533e-07,EX_mqn7_medium,mqn7_medium
EX_mqn8_medium,4.816243487567154e-07,EX_mqn8_medium,mqn8_medium
EX_nac_medium,9.346378318353005e-07,EX_nac_medium,nac_medium
EX_nmn_medium,1e-06,EX_nmn_medium,nmn_medium
EX_no2_medium,1e-06,EX_no2_medium,no2_medium
EX_no3_medium,1e-06,EX_no3_medium,no3_medium
EX_no_medium,1e-06,EX_no_medium,no_medium
EX_o2_medium,1e-06,EX_o2_medium,o2_medium
EX_oaa_medium,1e-06,EX_oaa_medium,oaa_medium
EX_ocdca_medium,5.254373989623725e-06,EX_ocdca_medium,ocdca_medium
EX_ocdcea_medium,1.147897068019299e-06,EX_ocdcea_medium,ocdcea_medium
EX_orn_medium,1e-06,EX_orn_medium,orn_medium
EX_pect_medium,1.0120871564322083e-06,EX_pect_medium,pect_medium
EX_pheme_medium,2.6741685201184307e-07,EX_pheme_medium,pheme_medium
EX_pi_medium,0.00016690827069661365,EX_pi_medium,pi_medium
EX_pnto_R_medium,9.324686261588308e-07,EX_pnto_R_medium,pnto_R_medium
EX_pro_L_medium,1.5778588076623548e-05,EX_pro_L_medium,pro_L_medium
EX_pydx_medium,9.28593616052699e-07,EX_pydx_medium,pydx_medium
EX_pyr_medium,1e-06,EX_pyr_medium,pyr_medium
EX_q8_medium,2.0844279684842214e-07,EX_q8_medium,q8_medium
EX_raffin_medium,1e-06,EX_raffin_medium,raffin_medium
EX_rib_D_medium,4.6149860651159776e-07,EX_rib_D_medium,rib_D_medium
EX_ribflv_medium,0.00022071126222524923,EX_ribflv_medium,ribflv_medium
EX_rmn_medium,1e-06,EX_rmn_medium,rmn_medium
EX_salcn_medium,1e-06,EX_salcn_medium,salcn_medium
EX_sel_medium,1e-06,EX_sel_medium,sel_medium
EX_ser_L_medium,0.00019900700265807852,EX_ser_L_medium,ser_L_medium
EX_sheme_medium,2.7744942372553106e-07,EX_sheme_medium,sheme_medium
EX_so4_medium,1e-06,EX_so4_medium,so4_medium
EX_spmd_medium,3.721068504423441e-07,EX_spmd_medium,spmd_medium
EX_strch1_medium,9.245080830953796e-06,EX_strch1_medium,strch1_medium
EX_stys_medium,3.5889092129964183e-07,EX_stys_medium,stys_medium
EX_sucr_medium,0.00027681127947926294,EX_sucr_medium,sucr_medium
EX_tet_medium,1e-06,EX_tet_medium,tet_medium
EX_thm_medium,1.7364434836734467e-07,EX_thm_medium,thm_medium
EX_thr_L_medium,0.0005198725111293336,EX_thr_L_medium,thr_L_medium
EX_tmao_medium,1e-06,EX_tmao_medium,tmao_medium
EX_trp_L_medium,9.622064844093594e-05,EX_trp_L_medium,trp_L_medium
EX_tsul_medium,1e-06,EX_tsul_medium,tsul_medium
EX_ttdca_medium,2.1533535488404765e-06,EX_ttdca_medium,ttdca_medium
EX_tyr_L_medium,0.00010633944520366453,EX_tyr_L_medium,tyr_L_medium
EX_ura_medium,1e-06,EX_ura_medium,ura_medium
EX_urea_medium,1e-06,EX_urea_medium,urea_medium
EX_uri_medium,1e-06,EX_uri_medium,uri_medium
EX_xan_medium,1e-06,EX_xan_medium,xan_medium
EX_xtsn_medium,1e-06,EX_xtsn_medium,xtsn_medium
EX_xyl_D_medium,1e-06,EX_xyl_D_medium,xyl_D_medium
EX_zn2_medium,1.0000000000000004e-06,EX_zn2_medium,zn2_medium
