Genus,species,average_abundance
Alistipes,Alistipes indistinctus,0.04734252252252252
Bacteroides,Bacteroides clarus,0.05775810810810811
Clostridium,Clostridium citroniae,0.02792315315315315
Dolosigranulum,Dolosigranulum pigrum,0.00018963963963963964
Fusobacterium,Fusobacterium nucleatum,0.023231711711711706
Ruminococcus,Ruminococcus flavefaciens,0.0
Oribacterium,Oribacterium sinus,0.0025382882882882883
Bacteroides,Bacteroides oleiciplenus,0.004162792792792793
Faecalibacterium,Faecalibacterium prausnitzii,4.608326756756756
Streptococcus,Streptococcus downei,0.00022666666666666668
Blautia,Blautia hansenii,5.675675675675676e-06
Lachnospiraceae,Lachnospiraceae bacterium 4 1 37FAA,0.0008840540540540541
Actinomyces,Actinomyces sp ICM47,0.005122972972972974
Bacteroides,Bacteroides massiliensis,2.013787927927928
Mobiluncus,Mobiluncus curtisii,0.0003268468468468468
Gemella,Gemella haemolysans,0.005846216216216216
Parascardovia,Parascardovia denticolens,0.00034630630630630633
Veillonella,Veillonella atypica,0.15689063063063066
Dysgonomonas,Dysgonomonas gadei,0.0002362162162162162
Raoultella,Raoultella ornithinolytica,0.29033774774774784
Prevotella,Prevotella buccalis,0.0
Arcobacter,Arcobacter unclassified,0.0
Lactobacillus,Lactobacillus reuteri,0.0009186486486486487
Bifidobacterium,Bifidobacterium breve,0.10476225225225227
Anaerococcus,Anaerococcus lactolyticus,3.135135135135135e-05
Peptostreptococcus,Peptostreptococcus stomatis,0.04016864864864864
Helicobacter,Helicobacter cinaedi,0.07350927927927928
Bacteroides,Bacteroides intestinalis,0.05246054054054055
Facklamia,Facklamia unclassified,0.0
Eggerthia,Eggerthia catenaformis,0.0004530630630630631
Clostridium,Clostridium bolteae,0.5527096396396395
Fusobacterium,Fusobacterium necrophorum,4.8378378378378377e-05
Alistipes,Alistipes onderdonkii,0.7965412612612613
Chlorobium,Chlorobium phaeobacteroides,5.81981981981982e-05
Eubacterium,Eubacterium dolichum,0.02568054054054054
Campylobacter,Campylobacter curvus,5.405405405405405e-06
Bacteroides,Bacteroides sp 2 1 22,0.05404828828828828
Bacteroides,Bacteroides sp 1 1 30,0.0
Escherichia,Escherichia coli,2.335854504504505
Bacteroides,Bacteroides sp 4 3 47FAA,0.0
Desulfovibrio,Desulfovibrio desulfuricans,0.008378018018018019
Ruminococcus,Ruminococcus callidus,0.08856657657657657
Lachnospiraceae,Lachnospiraceae bacterium 3 1 46FAA,0.09771081081081083
Haemophilus,Haemophilus parahaemolyticus,0.0004912612612612613
Subdoligranulum,Subdoligranulum unclassified,4.393150810810811
Dysgonomonas,Dysgonomonas unclassified,0.0
Olsenella,Olsenella unclassified,0.00039531531531531534
Prevotella,Prevotella oris,0.01731882882882883
Rahnella,Rahnella aquatilis,0.0
Alloprevotella,Alloprevotella rava,0.00048099099099099097
Megamonas,Megamonas funiformis,0.10939054054054055
Dialister,Dialister invisus,0.45104927927927924
Lachnospiraceae,Lachnospiraceae bacterium 9 1 43BFAA,0.011977837837837835
Anaerococcus,Anaerococcus vaginalis,0.0002418018018018018
Methanobrevibacter,Methanobrevibacter smithii,0.049468918918918914
Actinomyces,Actinomyces massiliensis,0.00013495495495495497
Turicibacter,Turicibacter unclassified,0.07188333333333333
Bacteroides,Bacteroides sp 9 1 42FAA,0.02213864864864865
Varibaculum,Varibaculum cambriense,0.002376486486486486
Aeromonas,Aeromonas veronii,0.0038844144144144143
Clostridium,Clostridium sp KLE 1755,0.008915225225225224
Clostridium,Clostridium glycolicum,0.0
Streptococcus,Streptococcus mitis oralis pneumoniae,0.04280990990990991
Roseburia,Roseburia unclassified,0.03548153153153153
Neisseria,Neisseria sicca,0.00020153153153153154
Paraprevotella,Paraprevotella clara,0.1595372972972973
Selenomonas,Selenomonas infelix,0.0001327927927927928
Anaerostipes,Anaerostipes hadrus,0.03960765765765764
Comamonas,Comamonas unclassified,4.108108108108108e-05
Alloscardovia,Alloscardovia omnicolens,0.008105765765765766
Anaerococcus,Anaerococcus obesiensis,0.0
Roseburia,Roseburia inulinivorans,1.8314354054054054
Bacteroides,Bacteroides stercoris,3.2943816216216217
Scardovia,Scardovia wiggsiae,0.0025815315315315317
Alistipes,Alistipes sp AP11,0.07035720720720719
Haemophilus,Haemophilus paraphrohaemolyticus,0.00038081081081081083
Erysipelotrichaceae,Erysipelotrichaceae bacterium 2 2 44A,0.0019318918918918918
Lactobacillus,Lactobacillus amylovorus,0.03428081081081081
Actinomyces,Actinomyces sp HPA0247,0.001331891891891892
Lachnospiraceae,Lachnospiraceae bacterium 7 1 58FAA,0.08406261261261262
Pantoea,Pantoea unclassified,8.630630630630631e-05
Helicobacter,Helicobacter pylori,0.00010153153153153152
Klebsiella,Klebsiella unclassified,0.025319909909909906
Treponema,Treponema socranskii,1.5045045045045045e-05
Clostridiales,Clostridiales bacterium 1 7 47FAA,0.017968828828828828
Kingella,Kingella oralis,0.0
Hafnia,Hafnia alvei,7.495495495495494e-05
Acinetobacter,Acinetobacter johnsonii,0.0
Gordonibacter,Gordonibacter pamelaeae,0.003251441441441442
Prevotella,Prevotella dentalis,0.0
Bacteroides,Bacteroides sp 1 1 6,0.0
Bacteroides,Bacteroides ovatus,2.247252792792794
Alloprevotella,Alloprevotella tannerae,0.015912612612612613
Mobiluncus,Mobiluncus unclassified,4.054054054054054e-05
Bacteroides,Bacteroides sp 3 1 19,0.0
Eubacterium,Eubacterium limosum,0.0021585585585585584
Actinomyces,Actinomyces viscosus,0.0004834234234234234
