,metabolite,reaction,flux_healthy,flux_CRC,flux_diff,perc_flux_diff
484,so3_medium,EX_so3_medium,-1e-06,-1e-06,0.0,-0.0
483,ser_D_medium,EX_ser_D_medium,0.0,0.0,0.0,
482,selni_medium,EX_selni_medium,-1e-06,-1e-06,0.0,-0.0
481,sbt_D_medium,EX_sbt_D_medium,0.0,0.0,0.0,
480,sTn_antigen_medium,EX_sTn_antigen_medium,0.0,0.0,0.0,
479,sT_antigen_rl_medium,EX_sT_antigen_rl_medium,0.0,0.0,0.0,
478,sT_antigen_medium,EX_sT_antigen_medium,0.0,0.0,0.0,
477,rib_D_medium,EX_rib_D_medium,0.0,0.0,0.0,
475,pydxn_medium,EX_pydxn_medium,0.0,0.0,0.0,
474,pydam_medium,EX_pydam_medium,0.0,0.0,0.0,
473,pullulan1200_medium,EX_pullulan1200_medium,0.0,0.0,0.0,
471,pppn_medium,EX_pppn_medium,0.0,0.0,0.0,
470,ppi_medium,EX_ppi_medium,0.0,0.0,0.0,
468,pime_medium,EX_pime_medium,0.0,0.0,0.0,
465,pac_medium,EX_pac_medium,0.0,0.0,0.0,
434,icdchol_medium,EX_icdchol_medium,0.0,0.0,0.0,
433,hista_medium,EX_hista_medium,0.0,0.0,0.0,
432,hg2_medium,EX_hg2_medium,0.0,0.0,0.0,
394,dopa_medium,EX_dopa_medium,0.0,0.0,0.0,
393,dms_medium,EX_dms_medium,-1e-06,-1e-06,0.0,-0.0
392,diact_medium,EX_diact_medium,0.0,0.0,0.0,
391,dhpppn_medium,EX_dhpppn_medium,0.0,0.0,0.0,
390,dhcinnm_medium,EX_dhcinnm_medium,0.0,0.0,0.0,
389,dgchol_medium,EX_dgchol_medium,0.0,0.0,0.0,
388,ctbt_medium,EX_ctbt_medium,0.0,0.0,0.0,
387,cro4_medium,EX_cro4_medium,0.0,0.0,0.0,
386,crn_medium,EX_crn_medium,0.0,0.0,0.0,
385,core8_medium,EX_core8_medium,0.0,0.0,0.0,
384,core7_medium,EX_core7_medium,0.0,0.0,0.0,
383,core6_medium,EX_core6_medium,0.0,0.0,0.0,
382,core5_medium,EX_core5_medium,0.0,0.0,0.0,
381,core3_medium,EX_core3_medium,0.0,0.0,0.0,
380,core2_rl_medium,EX_core2_rl_medium,0.0,0.0,0.0,
379,core2_medium,EX_core2_medium,0.0,0.0,0.0,
