Genus,species,average_abundance
Erysipelotrichaceae,Erysipelotrichaceae bacterium 5 2 54FAA,0.0017549003984063745
Shigella,Shigella sonnei,0.0
Lactobacillus,Lactobacillus curvatus,2.139442231075697e-05
Pseudomonas,Pseudomonas unclassified,0.001627569721115538
Alistipes,Alistipes finegoldii,0.05223470119521912
Streptococcus,Streptococcus intermedius,0.0013482470119521909
Fusobacterium,Fusobacterium gonidiaformans,2.8286852589641435e-06
Coprococcus,Coprococcus eutactus,0.0001097211155378486
Providencia,Providencia unclassified,1.609561752988048e-05
Holdemania,Holdemania filiformis,0.02350808764940239
Thermus,Thermus unclassified,7.820717131474103e-05
Streptococcus,Streptococcus sobrinus,0.0018055378486055776
Sutterella,Sutterella wadsworthensis,0.8239947808764938
Jonquetella,Jonquetella anthropi,0.000396414342629482
Mitsuokella,Mitsuokella unclassified,0.04425836653386454
Megasphaera,Megasphaera micronuciformis,0.07597027888446214
Carnobacterium,Carnobacterium maltaromaticum,4.621513944223108e-06
Serratia,Serratia liquefaciens,3.0199203187250997e-05
Porphyromonas,Porphyromonas asaccharolytica,0.0017052589641434262
Bilophila,Bilophila wadsworthia,0.03414988047808766
Clostridium,Clostridium sp L2 50,0.02988832669322709
Lachnospiraceae,Lachnospiraceae oral taxon 107,0.0
Catenibacterium,Catenibacterium mitsuokai,0.11354294820717131
Gemella,Gemella sanguinis,0.00921940239043825
Porphyromonas,Porphyromonas somerae,1.7888446215139442e-05
Butyrivibrio,Butyrivibrio unclassified,2.5378486055776892e-05
Lactobacillus,Lactobacillus sakei,0.00016243027888446216
Subdoligranulum,Subdoligranulum variabile,0.0004007171314741036
Streptococcus,Streptococcus pasteurianus,0.01368796812749004
Bacteroides,Bacteroides pectinophilus,0.0
Burkholderia,Burkholderia unclassified,0.0001256175298804781
Enterobacter,Enterobacter asburiae,0.0005182868525896413
Bacteroides,Bacteroides salanitronis,0.0029159362549800796
Aggregatibacter,Aggregatibacter unclassified,0.00043673306772908365
Lactobacillus,Lactobacillus vaginalis,0.0007192430278884462
Ralstonia,Ralstonia unclassified,0.02982035856573705
Adlercreutzia,Adlercreutzia equolifaciens,0.054865258964143446
Ruminococcus,Ruminococcus albus,0.00013358565737051789
Selenomonas,Selenomonas flueggei,2.127490039840637e-05
Turicibacter,Turicibacter sanguinis,0.011779840637450198
Prevotella,Prevotella baroniae,7.139442231075696e-05
Thiomonas,Thiomonas unclassified,0.0
Clostridium,Clostridium scindens,0.001102828685258964
Prevotella,Prevotella stercorea,1.1728185258964143
Enterococcus,Enterococcus raffinosus,0.0006070517928286852
Erysipelotrichaceae,Erysipelotrichaceae bacterium 3 1 53,0.0035349800796812747
Neisseria,Neisseria unclassified,0.002512988047808765
Dialister,Dialister micraerophilus,0.0
Megasphaera,Megasphaera genomosp type 1,0.0
Haemophilus,Haemophilus influenzae,0.00023075697211155378
Bacteroides,Bacteroides coprocola,1.9353774900398404
Brachyspira,Brachyspira pilosicoli,0.04926027888446215
Pseudomonas,Pseudomonas fragi,0.00015741035856573708
Propionibacterium,Propionibacterium propionicum,1.8486055776892432e-05
Bilophila,Bilophila sp 4 1 30,0.008213466135458166
Sutterella,Sutterella parvirubra,0.0689503187250996
Citrobacter,Citrobacter koseri,0.036245697211155385
Coprobacillus,Coprobacillus unclassified,0.19499163346613543
Aeromonas,Aeromonas hydrophila,0.0
Streptococcus,Streptococcus oligofermentans,9.764940239043824e-05
Parabacteroides,Parabacteroides distasonis,1.6306109960159365
Leuconostoc,Leuconostoc unclassified,0.00017139442231075695
Prevotella,Prevotella nigrescens,0.0002564940239043825
Dysgonomonas,Dysgonomonas mossii,0.02012605577689243
Lactobacillus,Lactobacillus gasseri,0.004538884462151394
Granulicella,Granulicella unclassified,0.0
Alistipes,Alistipes shahii,0.35430103585657363
Enterococcus,Enterococcus gilvus,0.0
Klebsiella,Klebsiella pneumoniae,0.6969408366533866
Lachnoanaerobaculum,Lachnoanaerobaculum saburreum,6.215139442231075e-06
Mitsuokella,Mitsuokella multacida,0.1124883266932271
Streptococcus,Streptococcus sanguinis,0.015513784860557767
Lachnospiraceae,Lachnospiraceae bacterium 1 1 57FAA,0.24980629482071695
Megamonas,Megamonas rupellensis,0.15213912350597608
Lachnospiraceae,Lachnospiraceae bacterium 3 1 57FAA CT1,0.013879402390438242
Leuconostoc,Leuconostoc carnosum,0.0
Prevotella,Prevotella oralis,2.900398406374502e-05
Clostridium,Clostridium hylemonae,0.0007141832669322708
Escherichia,Escherichia hermannii,0.0
Enterococcus,Enterococcus hirae,0.0
Peptostreptococcaceae,Peptostreptococcaceae noname unclassified,0.06090605577689244
Bacteroides,Bacteroides sp 3 1 33FAA,0.025853227091633468
Edwardsiella,Edwardsiella tarda,0.0
Actinobacillus,Actinobacillus unclassified,0.0009315139442231074
Clostridium,Clostridium leptum,0.24617015936254985
Corynebacterium,Corynebacterium propinquum,0.0
Clostridium,Clostridium symbiosum,0.09417270916334664
