,metabolite_id,metabolite_name,cross_feeding,produced_by,consumed_by
371,MGlcn97_medium,mucin-type O-glycan No 97,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
372,MGlcn97_rl_medium,released mucin-type O-glycan No 97,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
373,MGlcn98_medium,mucin-type O-glycan No 98,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
374,MGlcn98_rl_medium,released mucin-type O-glycan No 98,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
375,MGlcn99_medium,mucin-type O-glycan No 99,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
376,MGlcn99_rl_medium,released mucin-type O-glycan No 99,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
377,MGlcn9_medium,mucin-type O-glycan No 9,False,[],['Bacteroides_uniformis_ATCC_8492']
378,MGlcn9_rl_medium,released mucin-type O-glycan No 9,False,[],['Bacteroides_uniformis_ATCC_8492']
379,T_antigen_medium,T antigen (core 1),True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
380,Tn_antigen_medium,Tn antigen,False,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']",[]
381,Tyr_ggn_medium,Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis),False,['Bacteroides_uniformis_ATCC_8492'],[]
382,ac_medium,acetate,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
383,acgal_medium,N-acetyl-D-galactosamine,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
384,acgam_medium,N-acetyl-D-glucosamine,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
385,acnam2a6agal_medium,"Alpha-2,6-N-acetylneuraminate-N-acetylgalactosamine",True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']",['Bacteroides_uniformis_ATCC_8492']
386,acnam_medium,N-acetylneuraminate,True,['Bacteroides_uniformis_ATCC_8492'],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
387,adn_medium,Adenosine,False,['Bacteroides_uniformis_ATCC_8492'],['Bacteroides_uniformis_ATCC_8492']
388,adocbl_medium,Adenosylcobalamin,False,[],[]
389,agal1b3agal_medium,"Beta-1,3-N,N-diacetylgalactosamine",False,[],['Bacteroides_uniformis_ATCC_8492']
390,agam1b3agal_medium,"Beta-1,3-N-acetylglucosamine-N-acetylgalactosamine",True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']",['Bacteroides_uniformis_ATCC_8492']
391,agam1b6agal_medium,"Beta-1,6-N-acetylglucosamine-N-acetylgalactosamine",True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']",['Bacteroides_uniformis_ATCC_8492']
392,ala_L_medium,L-alanine,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
393,amylopect900_medium,"Amylopectin, 900 repeat units",False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
394,arab_L_medium,L-arabinose,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
395,arabinogal_medium,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000",False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
396,arabttr_medium,Arabinotriose,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
397,arg_L_medium,L-argininium(1+),False,['Bacteroides_uniformis_ATCC_8492'],['Bacteroides_uniformis_ATCC_8492']
398,asn_L_medium,L-asparagine,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
399,btn_medium,Biotin,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
400,ca2_medium,calcium(2+),False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
401,cbl1_medium,Cob(I)alamin,False,[],[]
402,cbl2_medium,Cob(II)alamin,False,[],[]
403,cd2_medium,Cadmium,False,[],[]
404,cellb_medium,cellobiose,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
405,cgly_medium,L-cysteinylglycine,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
406,cholate_medium,Cholate,False,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']",[]
407,chtbs_medium,"N,N-diacetylchitobiose",False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
408,cit_medium,Citrate,False,[],['Bacteroides_uniformis_ATCC_8492']
409,cl_medium,Chloride,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
410,co2_medium,carbon dioxide,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
411,cobalt2_medium,Co2+,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
